|  Performance Summary Over and Ensemble of Subsets  |
|               Key               |      Value       |
|---------------------------------+------------------+
|                    System Title |               NA |
|                     Decision ID |       Occurrence |
|                       TotTrials |            35843 |
|      IncludeBlocksWithNoTargets |                0 |
|                 TrialsPerSecond |                1 |
|                          TotDur |       35842.9925 |
|                            BETA |            999.9 |
|                           Value |                1 |
|                           Ptarg |           0.0001 |
|                            Cost |           0.1000 |


                      |        MetaData         |                                Occurrence                                |
                      |          Text           |  #Targ  |  #Corr  |   #FA   |  #Miss  |    TWV    |    PFA    |  PMISS   |
         KW202-00119  |             yaliyo mema |       1 |       1 |       1 |       0 |    0.9721 |   0.00003 |    0.000 |
         KW202-00120  |             angefikiria |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00121  |           nilitoa nduru |       1 |       1 |       0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00122  |                  maseno |       1 |       1 |      26 |       0 |    0.2747 |   0.00073 |    0.000 |
         KW202-00123  |                 tumekaa |       4 |       4 |      31 |       0 |    0.1351 |   0.00086 |    0.000 |
         KW202-00124  |          do not show up |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00125  |                   y d x |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00126  |              hatutaenda |       2 |       2 |      49 |       0 |   -0.3670 |   0.00137 |    0.000 |
         KW202-00127  |                   pombe |       3 |       3 |      72 |       0 |   -1.0087 |   0.00201 |    0.000 |
         KW202-00128  |             nikikungoja |       1 |       1 |       7 |       0 |    0.8047 |   0.00020 |    0.000 |
         KW202-00129  |           anacall ahmed |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00130  |                nilirudi |       3 |       3 |      47 |       0 |   -0.3113 |   0.00131 |    0.000 |
         KW202-00131  |               atakosaje |       1 |       1 |       6 |       0 |    0.8326 |   0.00017 |    0.000 |
         KW202-00132  |               hawatoshi |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00133  |          nataka kuongea |       1 |       0 |      18 |       1 |   -0.5022 |   0.00050 |    1.000 |
         KW202-00134  |       nitakuwa nimefika |       5 |       5 |       1 |       0 |    0.9721 |   0.00003 |    0.000 |
         KW202-00135  |            wanaangaliwa |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00136  |              kam ucheki |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00137  |          hizo vitu zote |       2 |       2 |       4 |       0 |    0.8884 |   0.00011 |    0.000 |
         KW202-00138  |           itakaa itakaa |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00139  |               nilifanya |       2 |       2 |      63 |       0 |   -0.7576 |   0.00176 |    0.000 |
         KW202-00140  |             am here for |       2 |       0 |       0 |       2 |    0.0000 |   0.00000 |    1.000 |
         KW202-00141  |               unaombewa |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00142  |            kuongea nami |       1 |       1 |      10 |       0 |    0.7210 |   0.00028 |    0.000 |
         KW202-00143  |                 githeri |       4 |       4 |      90 |       0 |   -1.5110 |   0.00251 |    0.000 |
         KW202-00144  |               niwahardy |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00145  |               nitafanya |       5 |       4 |      60 |       1 |   -0.8740 |   0.00167 |    0.200 |
         KW202-00146  |                nilipewa |       1 |       0 |      70 |       1 |   -1.9528 |   0.00195 |    1.000 |
         KW202-00147  |                 watumie |       1 |       1 |      43 |       0 |   -0.1996 |   0.00120 |    0.000 |
         KW202-00148  |                and then |       3 |       2 |      70 |       1 |   -1.2863 |   0.00195 |    0.333 |
         KW202-00149  |                  is too |       2 |       1 |      67 |       1 |   -1.3692 |   0.00187 |    0.500 |
         KW202-00150  |                  i mean |       2 |       1 |     104 |       1 |   -2.4014 |   0.00290 |    0.500 |
         KW202-00151  |               haikuangi |       1 |       1 |      14 |       0 |    0.6094 |   0.00039 |    0.000 |
         KW202-00152  |           mpoa akwambie |         |         |         |         |           |           |          |
         KW202-00153  |               kifo kifo |       1 |       1 |       0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00154  |             nimeshikana |       1 |       1 |      20 |       0 |    0.4421 |   0.00056 |    0.000 |
         KW202-00155  |                 unaijua |       1 |       1 |      61 |       0 |   -0.7017 |   0.00170 |    0.000 |
         KW202-00156  |                 ulikula |       1 |       1 |      53 |       0 |   -0.4786 |   0.00148 |    0.000 |
         KW202-00157  |             nilishangaa |       1 |       1 |      22 |       0 |    0.3863 |   0.00061 |    0.000 |
         KW202-00158  |               mshanunua |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00159  |           tunaleta fujo |       1 |       1 |       0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00160  |               tukicheza |       1 |       1 |      27 |       0 |    0.2468 |   0.00075 |    0.000 |
         KW202-00161  |            coin ukiweka |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00162  |                tunakula |       1 |       1 |      34 |       0 |    0.0515 |   0.00095 |    0.000 |
         KW202-00163  |            bell ikiring |         |         |         |         |           |           |          |
         KW202-00164  |           madogo madogo |       2 |       2 |       0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00165  |                 malaria |       1 |       0 |      48 |       1 |   -1.3391 |   0.00134 |    1.000 |
         KW202-00166  |               utatafuta |       1 |       1 |      25 |       0 |    0.3026 |   0.00070 |    0.000 |
         KW202-00167  |           ilikuwa mbaya |       2 |       2 |       4 |       0 |    0.8884 |   0.00011 |    0.000 |
         KW202-00168  |             ukinitafuta |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00169  |              ako karibu |       4 |       4 |      13 |       0 |    0.6373 |   0.00036 |    0.000 |
         KW202-00170  |           nitakuja nazo |       5 |       4 |       3 |       1 |    0.7163 |   0.00008 |    0.200 |
         KW202-00171  |                 kutumia |       6 |       6 |      61 |       0 |   -0.7020 |   0.00170 |    0.000 |
         KW202-00172  |           wanaendeleaje |       2 |       1 |      29 |       1 |   -0.3090 |   0.00081 |    0.500 |
         KW202-00173  |         kinaweza saidia |       1 |       1 |       0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00174  |             kuna kijana |       2 |       2 |      10 |       0 |    0.7210 |   0.00028 |    0.000 |
         KW202-00175  |               kituo cha |       2 |       2 |      12 |       0 |    0.6652 |   0.00033 |    0.000 |
         KW202-00176  |                nitazima |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00177  |               nikaongea |       1 |       1 |      50 |       0 |   -0.3949 |   0.00140 |    0.000 |
         KW202-00178  |            unaweza enda |       2 |       2 |      18 |       0 |    0.4978 |   0.00050 |    0.000 |
         KW202-00179  |               tutafanya |      13 |      12 |      37 |       1 |   -0.1095 |   0.00103 |    0.077 |
         KW202-00180  |                  ripoti |       3 |       3 |      29 |       0 |    0.1909 |   0.00081 |    0.000 |
         KW202-00181  |                   daudi |       2 |       2 |      55 |       0 |   -0.5344 |   0.00153 |    0.000 |
         KW202-00182  |                  tukuwe |       1 |       1 |     124 |       0 |   -2.4593 |   0.00346 |    0.000 |
         KW202-00183  |               rael rael |         |         |         |         |           |           |          |
         KW202-00184  |          marafiki zangu |       1 |       1 |       1 |       0 |    0.9721 |   0.00003 |    0.000 |
         KW202-00185  |            atupe hekima |       1 |       1 |       1 |       0 |    0.9721 |   0.00003 |    0.000 |
         KW202-00186  |                 imeweka |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00187  |              alimdirect |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00188  |             ken ken ken |       1 |       1 |       0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00189  |            kutoka kwako |       2 |       2 |      11 |       0 |    0.6931 |   0.00031 |    0.000 |
         KW202-00190  |                 akipiga |       1 |       1 |      14 |       0 |    0.6094 |   0.00039 |    0.000 |
         KW202-00191  |              only asked |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00192  |          buying centers |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00193  |                nikisema |       1 |       1 |      44 |       0 |   -0.2275 |   0.00123 |    0.000 |
