|  Performance Summary Over and Ensemble of Subsets  |
|               Key               |      Value       |
|---------------------------------+------------------+
|                    System Title |               NA |
|                     Decision ID |       Occurrence |
|                       TotTrials |            35843 |
|      IncludeBlocksWithNoTargets |                0 |
|                 TrialsPerSecond |                1 |
|                          TotDur |       35842.9925 |
|                            BETA |            999.9 |
|                           Value |                1 |
|                           Ptarg |           0.0001 |
|                            Cost |           0.1000 |


                      |        MetaData         |                                Occurrence                                 |
                      |          Text           |  #Targ  |  #Corr  |   #FA   |  #Miss  |    TWV     |    PFA    |  PMISS   |
         KW202-00090  |                ukicheza |       1 |       1 |      24 |       0 |     0.3305 |   0.00067 |    0.000 |
         KW202-00091  |                  chunga |       2 |       1 |      38 |       1 |    -0.5601 |   0.00106 |    0.500 |
         KW202-00092  |           nai bahatisha |       1 |       1 |       0 |       0 |     1.0000 |   0.00000 |    0.000 |
         KW202-00093  |            nitakusaidia |       1 |       1 |       8 |       0 |     0.7768 |   0.00022 |    0.000 |
         KW202-00094  |             ulikuwa una |       1 |       1 |      99 |       0 |    -1.7618 |   0.00276 |    0.000 |
         KW202-00095  |           madawa health |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00096  |                wasiwasi |       2 |       2 |      11 |       0 |     0.6931 |   0.00031 |    0.000 |
         KW202-00097  |                 wa pili |      15 |      14 |      27 |       1 |     0.1798 |   0.00075 |    0.067 |
         KW202-00098  |                 i swear |       1 |       1 |      20 |       0 |     0.4421 |   0.00056 |    0.000 |
         KW202-00099  |         anataka kuniona |       2 |       2 |       1 |       0 |     0.9721 |   0.00003 |    0.000 |
         KW202-00100  |             nikakutumia |       2 |       1 |       3 |       1 |     0.4163 |   0.00008 |    0.500 |
         KW202-00101  |                  fungua |       2 |       1 |      97 |       1 |    -2.2061 |   0.00271 |    0.500 |
         KW202-00102  |                   david |       3 |       2 |      14 |       1 |     0.2761 |   0.00039 |    0.333 |
         KW202-00103  |                tufungue |       1 |       1 |      16 |       0 |     0.5536 |   0.00045 |    0.000 |
         KW202-00104  |          d x wanasemaje |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00105  |                 kitaifa |       1 |       1 |      13 |       0 |     0.6373 |   0.00036 |    0.000 |
         KW202-00106  |                  huruma |       1 |       1 |      31 |       0 |     0.1352 |   0.00086 |    0.000 |
         KW202-00107  |           can i call it |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00108  |                 want to |       2 |       0 |      16 |       2 |    -0.4464 |   0.00045 |    1.000 |
         KW202-00109  |                   stage |      10 |       5 |      78 |       5 |    -1.6765 |   0.00218 |    0.500 |
         KW202-00110  |                 runinga |       1 |       1 |      28 |       0 |     0.2189 |   0.00078 |    0.000 |
         KW202-00111  |                kumpigia |       2 |       2 |      27 |       0 |     0.2467 |   0.00075 |    0.000 |
         KW202-00112  |                ukiongea |       1 |       1 |      38 |       0 |    -0.0601 |   0.00106 |    0.000 |
         KW202-00113  |                   bench |       1 |       1 |      14 |       0 |     0.6094 |   0.00039 |    0.000 |
         KW202-00114  |           lazima niende |       1 |       1 |       6 |       0 |     0.8326 |   0.00017 |    0.000 |
         KW202-00115  |             miaka ngapi |       1 |       1 |       8 |       0 |     0.7768 |   0.00022 |    0.000 |
         KW202-00116  |      ananjaa hakukunywa |       1 |       1 |       0 |       0 |     1.0000 |   0.00000 |    0.000 |
         KW202-00117  |                  tukiwa |      10 |       8 |      82 |       2 |    -1.4882 |   0.00229 |    0.200 |
         KW202-00118  |                 ukilipa |       1 |       0 |      15 |       1 |    -0.4185 |   0.00042 |    1.000 |
         KW202-00119  |             yaliyo mema |       1 |       1 |       0 |       0 |     1.0000 |   0.00000 |    0.000 |
         KW202-00120  |             angefikiria |       1 |       1 |       2 |       0 |     0.9442 |   0.00006 |    0.000 |
         KW202-00121  |           nilitoa nduru |       1 |       1 |       0 |       0 |     1.0000 |   0.00000 |    0.000 |
         KW202-00122  |                  maseno |       1 |       1 |      14 |       0 |     0.6094 |   0.00039 |    0.000 |
         KW202-00123  |                 tumekaa |       4 |       4 |      25 |       0 |     0.3025 |   0.00070 |    0.000 |
         KW202-00124  |          do not show up |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00125  |                   y d x |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00126  |              hatutaenda |       2 |       2 |      24 |       0 |     0.3304 |   0.00067 |    0.000 |
         KW202-00127  |                   pombe |       3 |       3 |      57 |       0 |    -0.5902 |   0.00159 |    0.000 |
         KW202-00128  |             nikikungoja |       1 |       1 |       1 |       0 |     0.9721 |   0.00003 |    0.000 |
         KW202-00129  |           anacall ahmed |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00130  |                nilirudi |       3 |       3 |      38 |       0 |    -0.0602 |   0.00106 |    0.000 |
         KW202-00131  |               atakosaje |       1 |       1 |       1 |       0 |     0.9721 |   0.00003 |    0.000 |
         KW202-00132  |               hawatoshi |       1 |       0 |       7 |       1 |    -0.1953 |   0.00020 |    1.000 |
         KW202-00133  |          nataka kuongea |       1 |       0 |      16 |       1 |    -0.4464 |   0.00045 |    1.000 |
         KW202-00134  |       nitakuwa nimefika |       5 |       5 |       2 |       0 |     0.9442 |   0.00006 |    0.000 |
         KW202-00135  |            wanaangaliwa |       1 |       1 |       2 |       0 |     0.9442 |   0.00006 |    0.000 |
         KW202-00136  |              kam ucheki |       1 |       0 |       0 |       1 |     0.0000 |   0.00000 |    1.000 |
         KW202-00137  |          hizo vitu zote |       2 |       2 |       5 |       0 |     0.8605 |   0.00014 |    0.000 |
         KW202-00138  |           itakaa itakaa |       1 |       1 |       0 |       0 |     1.0000 |   0.00000 |    0.000 |
         KW202-00139  |               nilifanya |       2 |       2 |      57 |       0 |    -0.5902 |   0.00159 |    0.000 |
         KW202-00140  |             am here for |       2 |       0 |       0 |       2 |     0.0000 |   0.00000 |    1.000 |
         KW202-00141  |               unaombewa |       1 |       0 |       2 |       1 |    -0.0558 |   0.00006 |    1.000 |
         KW202-00142  |            kuongea nami |       1 |       1 |       6 |       0 |     0.8326 |   0.00017 |    0.000 |
         KW202-00143  |                 githeri |       4 |       2 |       2 |       2 |     0.4442 |   0.00006 |    0.500 |
         KW202-00144  |               niwahardy |       1 |       0 |       1 |       1 |    -0.0279 |   0.00003 |    1.000 |
         KW202-00145  |               nitafanya |       5 |       4 |      63 |       1 |    -0.9577 |   0.00176 |    0.200 |
         KW202-00146  |                nilipewa |       1 |       0 |      52 |       1 |    -1.4507 |   0.00145 |    1.000 |
         KW202-00147  |                 watumie |       1 |       1 |      44 |       0 |    -0.2275 |   0.00123 |    0.000 |
         KW202-00148  |                and then |       3 |       0 |      18 |       3 |    -0.5022 |   0.00050 |    1.000 |
         KW202-00149  |                  is too |       2 |       0 |      25 |       2 |    -0.6975 |   0.00070 |    1.000 |
