|  Performance Summary Over and Ensemble of Subsets  |
|               Key               |      Value       |
|---------------------------------+------------------+
|                    System Title |               NA |
|                     Decision ID |       Occurrence |
|                       TotTrials |            35843 |
|      IncludeBlocksWithNoTargets |                0 |
|                 TrialsPerSecond |                1 |
|                          TotDur |       35842.9925 |
|                            BETA |            999.9 |
|                           Value |                1 |
|                           Ptarg |           0.0001 |
|                            Cost |           0.1000 |


                      |        MetaData         |                                Occurrence                                |
                      |          Text           |  #Targ  |  #Corr  |   #FA   |  #Miss  |    TWV    |    PFA    |  PMISS   |
         KW202-00136  |              kam ucheki |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00137  |          hizo vitu zote |       2 |       2 |      12 |       0 |    0.6652 |   0.00033 |    0.000 |
         KW202-00138  |           itakaa itakaa |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00139  |               nilifanya |       2 |       2 |     116 |       0 |   -2.2362 |   0.00324 |    0.000 |
         KW202-00140  |             am here for |       2 |       0 |       0 |       2 |    0.0000 |   0.00000 |    1.000 |
         KW202-00141  |               unaombewa |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00142  |            kuongea nami |       1 |       1 |      18 |       0 |    0.4978 |   0.00050 |    0.000 |
         KW202-00143  |                 githeri |       4 |       4 |     158 |       0 |   -3.4082 |   0.00441 |    0.000 |
         KW202-00144  |               niwahardy |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00145  |               nitafanya |       5 |       5 |     112 |       0 |   -2.1249 |   0.00313 |    0.000 |
         KW202-00146  |                nilipewa |       1 |       0 |     112 |       1 |   -3.1245 |   0.00312 |    1.000 |
         KW202-00147  |                 watumie |       1 |       1 |      64 |       0 |   -0.7854 |   0.00179 |    0.000 |
         KW202-00148  |                and then |       3 |       2 |     134 |       1 |   -3.0718 |   0.00374 |    0.333 |
         KW202-00149  |                  is too |       2 |       1 |     105 |       1 |   -2.4293 |   0.00293 |    0.500 |
         KW202-00150  |                  i mean |       2 |       1 |     185 |       1 |   -4.6612 |   0.00516 |    0.500 |
         KW202-00151  |               haikuangi |       1 |       1 |      18 |       0 |    0.4978 |   0.00050 |    0.000 |
         KW202-00152  |           mpoa akwambie |         |         |         |         |           |           |          |
         KW202-00153  |               kifo kifo |       1 |       1 |       0 |       0 |    1.0000 |   0.00000 |    0.000 |
         KW202-00154  |             nimeshikana |       1 |       1 |      34 |       0 |    0.0515 |   0.00095 |    0.000 |
         KW202-00155  |                 unaijua |       1 |       1 |     117 |       0 |   -2.2640 |   0.00326 |    0.000 |
         KW202-00156  |                 ulikula |       1 |       1 |      91 |       0 |   -1.5387 |   0.00254 |    0.000 |
         KW202-00157  |             nilishangaa |       1 |       1 |      31 |       0 |    0.1352 |   0.00086 |    0.000 |
         KW202-00158  |               mshanunua |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00159  |           tunaleta fujo |       1 |       1 |       1 |       0 |    0.9721 |   0.00003 |    0.000 |
         KW202-00160  |               tukicheza |       1 |       1 |      42 |       0 |   -0.1717 |   0.00117 |    0.000 |
         KW202-00161  |            coin ukiweka |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00162  |                tunakula |       1 |       1 |      57 |       0 |   -0.5902 |   0.00159 |    0.000 |
         KW202-00163  |            bell ikiring |         |         |         |         |           |           |          |
         KW202-00164  |           madogo madogo |       2 |       2 |       1 |       0 |    0.9721 |   0.00003 |    0.000 |
         KW202-00165  |                 malaria |       1 |       0 |      77 |       1 |   -2.1481 |   0.00215 |    1.000 |
         KW202-00166  |               utatafuta |       1 |       1 |      48 |       0 |   -0.3391 |   0.00134 |    0.000 |
         KW202-00167  |           ilikuwa mbaya |       2 |       2 |      10 |       0 |    0.7210 |   0.00028 |    0.000 |
         KW202-00168  |             ukinitafuta |       1 |       0 |       0 |       1 |    0.0000 |   0.00000 |    1.000 |
         KW202-00169  |              ako karibu |       4 |       4 |      27 |       0 |    0.2467 |   0.00075 |    0.000 |
